name,country,genre,link
0_X_%C3%AD_S_T,Finland,Blackened Doom Metal,<a href='https://www.metal-archives.com/bands/0_X_%C3%AD_S_T/3540304450'>0 X í S T</a>
0_Zone,Greece,Death/Thrash Metal,<a href='https://www.metal-archives.com/bands/0_Zone/3540398489'>0 Zone</a>
01101111011101100110111001101001,International,Brutal Death Metal,<a href='https://www.metal-archives.com/bands/01101111011101100110111001101001/3540434066'>01101111011101100110111001101001</a>
0N0,Slovakia,Experimental Industrial Doom/Death Metal,<a href='https://www.metal-archives.com/bands/0N0/3540325569'>0N0</a>
1_Shot_Kill,Australia,Death/Groove Metal,<a href='https://www.metal-archives.com/bands/1_Shot_Kill/70401'>1 Shot Kill</a>
10_Kingdoms,United States,Thrash/Heavy Metal,<a href='https://www.metal-archives.com/bands/10_Kingdoms/66551'>10 Kingdoms</a>
10%24_Head,United Kingdom,Death/Thrash Metal,<a href='https://www.metal-archives.com/bands/10%24_Head/93854'>10$ Head</a>
10-67_P.D.O.A.,United States,Heavy Metal,<a href='https://www.metal-archives.com/bands/10-67_P.D.O.A./88666'>10-67 P.D.O.A.</a>
10.000_km%C2%B2_gegen_die_Zeit,Germany,Stoner/Doom Metal/Rock,<a href='https://www.metal-archives.com/bands/10.000_km%C2%B2_gegen_die_Zeit/3540395576'>10.000 km² gegen die Zeit</a>
100_Knives_Inside,Denmark,Progressive Death Metal,<a href='https://www.metal-archives.com/bands/100_Knives_Inside/3540260920'>100 Knives Inside</a>
100_Slain,Spain,Thrash Metal,<a href='https://www.metal-archives.com/bands/100_Slain/3540266645'>100 Slain</a>
100_Suns,United States,Death Metal,<a href='https://www.metal-archives.com/bands/100_Suns/87700'>100 Suns</a>
1000_A.D.,United States,Drone/Sludge Metal,<a href='https://www.metal-archives.com/bands/1000_A.D./81844'>1000 A.D.</a>
1000_Bombs,Czech Republic,Thrash Metal,<a href='https://www.metal-archives.com/bands/1000_Bombs/3540373729'>1000 Bombs</a>
1000_Funerals,Iran,Funeral Doom/Death Metal/Ambient,<a href='https://www.metal-archives.com/bands/1000_Funerals/3540326834'>1000 Funerals</a>
1000_Kadaveres,Chile,Brutal Death Metal/Goregrind,<a href='https://www.metal-archives.com/bands/1000_Kadaveres/3540413759'>1000 Kadaveres</a>
1000_Odios,Argentina,Thrash/Melodic Death Metal,<a href='https://www.metal-archives.com/bands/1000_Odios/122684'>1000 Odios</a>
1000_Sins,United Kingdom,Metalcore,<a href='https://www.metal-archives.com/bands/1000_Sins/112675'>1000 Sins</a>
1000_Vierges,France,Sludge/Doom Metal,<a href='https://www.metal-archives.com/bands/1000_Vierges/129655'>1000 Vierges</a>
1000_Yard_Stare,United States,"Death/Groove Metal (early), Sludge/Doom/Death Metal (later)",<a href='https://www.metal-archives.com/bands/1000_Yard_Stare/3540314400'>1000 Yard Stare</a>
100000_Tonnen_Kruppstahl,Germany,Grindcore/Powerviolence,<a href='https://www.metal-archives.com/bands/100000_Tonnen_Kruppstahl/3540313198'>100000 Tonnen Kruppstahl</a>
1000Dead,Greece,Metalcore/Thrash/Groove Metal,<a href='https://www.metal-archives.com/bands/1000Dead/3540425687'>1000Dead</a>
107_Pasos,Colombia,Heavy Metal,<a href='https://www.metal-archives.com/bands/107_Pasos/68859'>107 Pasos</a>
1080,United States,Groove/Thrash Metal,<a href='https://www.metal-archives.com/bands/1080/38703'>1080</a>
10Eyes,Germany,Power Metal,<a href='https://www.metal-archives.com/bands/10Eyes/33414'>10Eyes</a>
11_Paranoias,United Kingdom,Sludge/Doom Metal,<a href='https://www.metal-archives.com/bands/11_Paranoias/3540366703'>11 Paranoias</a>
1134,United States,Thrash/Groove Metal,<a href='https://www.metal-archives.com/bands/1134/76862'>1134</a>
11%3A11,United States,Heavy/Thrash Metal,<a href='https://www.metal-archives.com/bands/11%3A11/3540317975'>11:11</a>
11%3A34,United States,Death/Thrash Metal,<a href='https://www.metal-archives.com/bands/11%3A34/96094'>11:34</a>
11th_Dimension,Portugal,Progressive Metal,<a href='https://www.metal-archives.com/bands/11th_Dimension/3540382000'>11th Dimension</a>
