name,id
...and Oceans,231
A Canorous Quintet,2296
A Forest of Stars,115504
A Life Once Lost,1897
A Pale Horse Named Death,3540322608
A Sound of Thunder,3540304959
ADX,524
Aarni,1557
Abazagorath,1290
Abbath,3540404950
Abhorrence,688
Abigail,1282
Abigail Williams,73633
Abigor,1066
Abnormality,101081
Abominable Putridity,43778
Aborted,213
Aborym,1150
Abruptum,1127
Abscess,878
Absu,41
Absurd,383
Abusiveness,4794
Abysmal Dawn,27821
Abyssal,3540341441
Abyssic Hate,1054
Accept,198
Accu§er,1323
Acephalix,3540320647
Acheron,123
Acherontas,112532
Acid Bath,19
Acid Drinkers,4682
Acid Reign,521
Acid Witch,3540265808
Acrania,3540359582
Acrassicauda,8156
Acrostichon,871
Ad Hominem,11304
Adagio,754
Adorned Brood,2529
Adrenaline Mob,3540331861
Advent Sorrow,3540348478
Aenaon,3540291245
Aeon,327
Aesma Daeva,1391
Aeternus,922
After Forever,526
After the Burial,101594
Aftermath,527
Agalloch,305
Agathocles,2649
Agathodaimon,412
Agatus,935
Agent Steel,529
Agressor,497
Ahab,35791
Aion,37917
Ajattara,2052
Akercocke,2707
Akitsa,2224
AlNamrood,3540256815
Alabama Thunderpussy,4647
Alcatrazz,533
Alcest,19701
Alchemist,42
Aldious,3540296084
Alestorm,116989
Alice in Chains,753
Alkonost,10145
All Shall Perish,5058
All That Remains,1283
Allegaeon,3540261016
Allegiance,1408
Allen - Lande,47043
Alpha Drone,25176
Altar of Oblivion,101486
Altar of Plagues,85064
Amaka Hahina,3979
Amberian Dawn,102093
Amebix,13111
Amesoeurs,46747
Amon Amarth,150
Amoral,4142
Amorphis,1
An Autumn for Crippled Children,3540302963
An Axis of Perdition,7836
Anaal Nathrakh,1314
Anabanta,9217
Anacrusis,82
Anata,2975
Anathema,503
Anatomia,49197
Ancestral,114882
Ancient,772
Ancient Bards,3540257762
Ancient Rites,28
Andromeda,27
Angantyr,3987
Angel Dust,215
Angel Sword,3540381757
Angel Witch,537
Angelcorpse,897
Angra,538
Animae Capronii,101233
Animetal,15803
Animosity,7401
Animus,45057
Annihilator,140
Annotations of an Autopsy,88830
Anorexia Nervosa,2171
Antaeus,2170
Antediluvian,95917
Antestor,3048
Anthem,540
Anthrax,169
Antigama,4478
Antiquus Scriptum,46740
Anubis Gate,14633
Anvil,542
Aosoth,10098
Apocalypse,19770
Apocalyptica,1752
Apokalyptic Raids,728
Apotheosis,7105
Arcana Coelestia,85830
Arch / Matheos,3540333391
Arch Enemy,10
Archgoat,4357
Archspire,3540326229
Arckanum,2712
Arcturus,292
Ares Kingdom,10670
Arghoslent,3195
Argus,92314
Arkhon Infaustus,855
Armagedda,3994
Armored Saint,280
Armoured Angel,597
Arrayan Path,13244
Arsis,5819
Artery Eruption,15032
Artillery,249
As Blood Runs Black,69259
As I Lay Dying,20825
Ash Borer,3540301081
Ashes You Leave,1621
Ashes of Ares,3540369518
Asphyx,641
Assassin,642
Assaulter,38316
Assück,21631
Astarte,2233
Astral Doors,14537
Astrofaes,4731
Astrum,60615
Asunder,21501
At Vance,1545
At War,648
At the Gates,43
Atheist,304
Atlantean Kodex,75285
Atrocity,646
Atrophy,647
Attacker,645
Augury,27517
Aura Noir,209
Auroch,3540263421
Aurora Borealis,420
Aurvandil,91840
Austere,99183
Austrian Death Machine,3540258437
Autokrator,3540393385
Autopsy,285
Autumn,6366
Avantasia,331
Avatarium,3540369803
Averse Sefira,1126
Avsky,68966
Avulsed,982
Axel Rudi Pell,1746
Axenstar,4748
Axis of Advance,2172
Axxis,1081
Ayreon,1427
Azaghal,2342
Azarath,7171
Azrael,13835
Aäkon Këëtrëh,14415
The Absence,31676
The Agonist,102219
The Amenta,8115
The Atlas Moth,3540257097
Ásmegin,3201
Bal-Sagoth,12
Bane,3540303871
Baphomet,953
Baptism,4571
Barathrum,2368
Barbatos,4239
Baroness,34361
Barren Earth,3540294014
Bathory,184
Battle Beast,3540325827
Battle Dagorath,120919
Battlelore,431
Battleroar,5121
Batushka,3540404077
Be'lakor,89033
Beast in Black,3540433441
Becoming the Archetype,34307
Before the Dawn,8508
Beheaded,328
Behemoth,263
Beherit,348
Behexen,6310
Behold the Arctopus,9802
Belenos,2991
Belial,716
Believer,655
Belkètre,4240
Bell Witch,3540336467
Belphegor,1952
Beneath the Massacre,35773
Benediction,504
Benighted,3752
Bergthron,3754
Bestial Mockery,432
Bestial Warlust,1225
Bethlehem,1122
Bewitched,971
Beyond Creation,3540316039
Beyond Twilight,294
Beyond the Black,3540392394
Bilskirnir,9509
Biomechanical,1200
Black Anvil,3540264749
Black Boned Angel,42960
Black Breath,3540278794
Black Cilice,3540293449
Black Funeral,4036
Black Label Society,245
Black Majesty,919
Black Sabbath,99
Black Tribe,7223
Black Witchery,2782
Blackdeath,6013
Blackguard,3540277053
Blasphemy,1141
Blaspherian,47423
Blaze,600
Blaze Bayley,3540257585
Blaze of Perdition,3540268475
Blazon Stone,3540370011
Bleeding Through,3106
Blind Guardian,3
Blind Illusion,684
Blitzkrieg,685
Blodsrit,3228
Blood Ceremony,3540318499
Blood Feast,509
Blood Freak,13217
Blood Incantation,3540368063
Blood Red Fog,42404
Blood Red Throne,808
Blood Stain Child,9224
Blood Tsunami,43309
Blood of Kingu,112092
Blood of the Black Owl,86051
Bloodbath,233
Bloodbound,54764
Bloodshot Dawn,109342
Blut aus Nord,2371
Bob Catley,16778
Bolt Thrower,234
Bombs of Hades,101349
Bonded by Blood,105199
Bone Awl,14143
Bong,3540275975
Bongripper,59880
Bongzilla,6782
Book of Black Earth,33549
Boris,9387
Borknagar,629
Bosque,51951
Bow Wow,22937
Brain Drill,66715
Brainstorm,313
Branikald,10269
Brodequin,241
Broken Hope,3221
Brown Jenkins,98074
Bruce Dickinson,295
Brujeria,1347
Brutal Truth,606
Brutality,508
Brymir,3540325883
Buckethead,3540384034
Budgie,1039
Bulldozer,890
Bullet,7765
Burial Hordes,10542
Burn the Priest,39615
Burning Point,2273
Burst,15620
Burzum,88
Buzzov•en,4223
Bölzer,3540351548
The Berzerker,827
The Black Dahlia Murder,5450
The Body,51680
Cacophony,691
Cadaver,3380
Cage,417
Cain's Offering,3540286624
Caladan Brood,3540359903
Caliban,9547
Callenish Circle,414
Cancer,695
Candlemass,34
Cannabis Corpse,84344
Cannibal Corpse,186
Canvas Solaris,17658
Capharnaum,4227
Car Door Dick Smash,3540419707
Carach Angren,28907
Carbonized,2768
Carcass,14
Cardiac Arrest,48110
Carnage,830
Carnal Forge,247
Carnifex,91003
Carnivore,803
Carpathian Forest,147
Castle,3540328238
Catamenia,557
Cathedral,1107
Cattle Decapitation,2840
Cauldron,87598
Cavalera Conspiracy,122600
Caïna,47997
Celestia,974
Celestial Bloodshed,8904
Celestiial,26634
Celesty,2697
Cellador,29195
Celtic Frost,269
Cemetary,560
Cenotaph,1255
Centinex,633
Cephalic Carnage,910
Cephalotripsy,60559
Cerebral Bore,83767
Ceremonial Castings,5708
Chainsaw Penis,3540355229
Chakal,2091
Chaos Moon,23631
Chaos Synopsis,63568
Chapel of Disease,3540344863
Charred Walls of the Damned,3540299757
Chastain,4157
Chevalier,3540423992
Children of Bodom,22
Children of Technology,3540260349
Chimaira,9208
Chinchilla,2274
Christ Agony,2385
Chthe'ilist,3540357656
Church of Misery,763
Cianide,4296
Circle II Circle,7170
Circle of Dead Children,2221
Circle of Ouroborus,49210
Cirith Gorgor,2104
Cirith Ungol,561
Cirrhus,3540270915
Civil War,3540355146
Clair Cassis,3540303819
Clandestine Blaze,988
Cloud Rat,3540351629
Cloven Hoof,780
Cobalt,12739
Coffins,18728
ColdWorld,57431
Comatose Vigil,28947
Communic,24704
Conan,96731
Conception,380
Conqueror,3502
Control Denied,549
Convulse,10449
Cormorant,104839
Coroner,117
Corrosion of Conformity,246
Corrupted,17630
Cough,97661
Count Raven,764
Countess,127
Coven 6669,1525
Cradle of Filth,24
Craft,1154
Crematory,563
Crimson Glory,381
Crimson Massacre,6956
Crimson Moon,4607
Crimson Moonlight,2053
Crimson Shadows,98165
Cro-Mags,15184
Crowbar,235
Cruachan,86
Cruciamentum,3540256962
Crushing Axes,3540355208
Cryonic Temple,2357
Crypt of Kerberos,2760
Cryptic Slaughter,1397
Crypticus,25285
Cryptopsy,17
Crystal Ball,768
Crystal Eyes,421
Crystal Viper,33867
Cult of Fire,3540334368
Cult of Luna,6139
Cultes des Ghoules,87023
Cyclone Temple,3067
Cynic,91
The Chasm,410
The County Medical Examiners,2169
The Crown,132
D.R.I.,5928
Dagoba,26507
Dalriada,91866
Damageplan,6916
Danzig,286
Dark Angel,126
Dark Empire,63043
Dark Fortress,5388
Dark Funeral,669
Dark Moor,568
Dark Tranquillity,8
Darkane,9
Darkend,103340
Darkened Nocturn Slaughtercult,11329
Darkenhöld,3540293061
Darkest Hour,3484
Darkestrah,15448
Darkness,1849
Darkspace,13746
Darkthrone,146
Darvulia,18278
Darzamat,2129
Dawn,1455
Dawn of Destiny,63866
Dawn of Tears,76051
Dawnbringer,569
Daylight Dies,2809
De Profundis,103709
Dead Congregation,33688
Dead Head,5459
Dead Raven Choir,23513
Deadlock,5413
Deafest,3540260272
Deafheaven,3540315870
Death,141
Death Angel,179
Death Breath,68985
Death SS,1111
Deathchain,4267
Deathhammer,57061
Deathrow,1055
Deathspell Omega,4237
Deathwish,570
Decapitated,114
Deceased,1392
Decrepit Birth,916
Decrepitaph,64896
Deeds of Flesh,829
Deep Purple,1178
Def Leppard,16713
Defeated Sanity,11052
Defiance,311
Defleshed,135
Deicide,148
Deinonychus,2339
Deiphago,39179
Dekapitator,981
Delain,10897
Deliverance,1215
Demigod,995
Demilich,250
Demolition Hammer,1161
Demon,575
Demon Bitch,3540348745
Demoncy,2177
Demonic Resurrection,8293
Demonical,72977
Demons & Wizards,158
Demontage,17437
Denial of God,4241
Depressive Age,1586
Deranged,1036
Derdian,35916
Derkéta,3119
Desaster,277
