name,id
Cacophony,691
Cadaver,3380
Cage,417
Cain's Offering,3540286624
Caladan Brood,3540359903
Caliban,9547
Callenish Circle,414
Cancer,695
Candlemass,34
Cannabis Corpse,84344
Cannibal Corpse,186
Canvas Solaris,17658
Capharnaum,4227
Carach Angren,28907
Carbonized,2768
Carcass,14
Cardiac Arrest,48110
Carnal Forge,247
Carnifex,91003
Carnivore,803
Carpathian Forest,147
Catamenia,557
Cathedral,1107
Cattle Decapitation,2840
Cauldron,87598
Cavalera Conspiracy,122600
Caïna,47997
Celestia,974
Celestiial,26634
Celesty,2697
Cellador,29195
Celtic Frost,269
Cemetary,560
Cenotaph,4379
Centinex,633
Cephalic Carnage,910
Cephalotripsy,60559
Cerebral Bore,83767
Ceremonial Castings,5708
Chaos Synopsis,63568
Chapel of Disease,3540344863
Charred Walls of the Damned,3540299757
Chastain,4157
Children of Bodom,22
Children of Technology,3540260349
Chimaira,9208
Chinchilla,2274
Chthe'ilist,3540357656
Church of Misery,763
Cianide,4296
Circle II Circle,7170
Circle of Dead Children,2221
Circle of Ouroborus,49210
Cirith Gorgor,2104
Cirith Ungol,561
Civil War,3540355146
Clair Cassis,3540303819
Clandestine Blaze,988
Cloven Hoof,780
Cobalt,12739
Coffins,18728
ColdWorld,57431
Communic,24704
Conan,96731
Conception,380
Conqueror,3502
Control Denied,549
Convulse,10449
Cormorant,104839
Coroner,117
Corrosion of Conformity,246
Corrupted,17630
Count Raven,764
Countess,127
Coven 6669,1525
Cradle of Filth,24
Craft,1154
Crematory,563
Crimson Glory,381
Crimson Moonlight,2053
Crimson Shadows,98165
Cro-Mags,15184
Crowbar,235
Cruachan,86
Cruciamentum,3540256962
Crushing Axes,3540355208
Cryonic Temple,2357
Crypt of Kerberos,2760
Cryptic Slaughter,1397
Cryptopsy,17
Crystal Eyes,421
Crystal Viper,33867
Cult of Luna,6139
Cultes des Ghoules,87023
Cyclone Temple,3067
Cynic,91
The Chasm,410
The County Medical Examiners,2169
The Crown,132
