name,id
Nachtfalke,6231
Nachtmystium,4866
Nadja,14868
Naer Mataron,4191
Naglfar,618
Nails,3540413151
Napalm Death,219
Nargaroth,961
Nasty Savage,960
Nasum,1246
Nattefrost,11288
Nazgûl,7829
Nazxul,2912
Ne Obliviscaris,91913
Neaera,21035
Necrodeath,2107
Necromantia,927
Necronomicon,928
Necrophagia,406
Necrophagist,207
Necrophobic,1350
Necros Christos,21328
Necrovore,9326
Negative Plane,3222
Negură Bunget,4356
Neige et Noirceur,68155
Nekrasov,108715
Nekrogoblikon,75647
Nekromantheon,90885
Nest,22384
Neuraxis,3604
Neurosis,60
Nevermore,44
Newsted,3540357928
Nifelheim,622
Nightbringer,38408
Nightfall,1050
Nightmare,2727
Nightrage,4431
Nightwish,39
Nihilist,14076
Nile,139
Nirvana 2002,11058
Njiqahdda,109826
Nocternity,10090
Nocturnal,7684
Nocturnal Depression,19948
Nocturnal Rites,260
Nocturnus,152
Nokturnal Mortum,528
Nominon,1508
Norther,1815
Nortt,7722
Novembers Doom,288
Novembre,1185
Nuclear Assault,121
Nuclear Death,5069
Nuit Noire,9910
Nunslaughter,592
Nyktalgia,28216
Nåstrond,7218
Númenor,3540290774
