name,id
Oathean,8163
Obituary,165
Obliteration,31532
Obscura,63100
Obsequiae,3540290073
October Falls,87100
October Tide,2337
Ohtar,1085
Old Man's Child,362
Old Wainds,9384
Om,33472
Omen,452
Omnium Gatherum,3306
One Man Army and the Undead Quartet,32378
Onslaught,782
Opera IX,867
Opeth,38
Ophthalamia,4874
Orange Goblin,1703
Oranssi Pazuzu,3540279710
Orden Ogan,4667
Order from Chaos,4272
Origin,79
Orphaned Land,2309
Outworld,6325
Overkill,168
Oz,866
Ozzy Osbourne,195
The Obsessed,1690
The Ocean,25189
