name,id
S.O.D.,190
Sabaton,484
Sabbat,580
Sacramentum,908
Sacred Reich,120
Sacred Steel,153
Sacrifice,462
Sacrilege,3145
Sadus,1012
Saint Vitus,35
Samael,31
Sanctuary,343
Sarcófago,2061
Sargeist,10533
Sarke,3540278472
Satan,774
Satan's Host,1460
Satanic Warmaster,989
Saturnus,3540
Satyricon,341
Savage Circus,44952
Savage Messiah,108948
Savatage,193
Saxon,626
Scanner,267
Scar Symmetry,32861
Scarve,5163
Scorpions,15424
Seance,2519
Sear Bliss,3137
Secret Sphere,1069
Secrets of the Moon,6447
Senmuth,90703
Sentenced,162
Septicflesh,892
Sepultura,78
Serenity,24516
Setherial,1098
Seven Witches,476
Severe Torture,240
Sex Machineguns,7310
Shade Empire,3230
Shadows Fall,703
Shape of Despair,1194
Shining,2256
Shores of Sheol,36054
Siebenbürgen,1407
Sigh,51
Silencer,8476
Silent Force,748
Sinergy,479
Sinister,998
Sinner,909
Sirenia,1393
Six Feet Under,1067
Skagos,3540257233
Skeletal Remains,3540331659
Skeletonwitch,16879
Skepticism,5222
Skid Row,1657
Skinlab,106768
Skinless,820
Skjaersild,3540326685
Skull Fist,79718
Skyclad,58
Skyfire,614
Skyforger,2776
Skylark,1618
Skyliner,4156
Slaughter,376
Slayer,72
Sleep,2891
Sleep Terror,5753
Sloth,16591
Slough Feg,296
Sodom,419
Soilent Green,76
Soilwork,26
Solefald,50
Soliloquium,3540350235
Solitude Aeturnus,256
Solstice,718
Sombre Chemin,7672
Sombres Forêts,71518
Sonata Arctica,192
Sonic Syndicate,47836
Sorcier des Glaces,3976
Soulfly,3540344931
Soundgarden,5649
Spawn of Possession,204
Spectral Lore,68704
Spektr,18228
Spiral Architect,1243
Spiritual Beggars,13
Stam1na,33052
Steel Attack,488
Steel Prophet,317
Stillborn,14100
Stormlord,129
Stormwarrior,742
Stormwitch,1113
Strapping Young Lad,46
Stratovarius,216
Stream of Passion,45291
Striborg,16746
Strid,7507
Striker,3540276670
Stryper,81757
Suffocation,119
Suicidal Angels,27911
Suicidal Tendencies,959
Suidakra,487
Sulphur Aeon,3540326674
Summoning,29
Sun Devoured Earth,3540325436
Sunn O))),612
Superjoint Ritual,507
Susperia,790
Svartsot,56851
Svartsyn,3247
Swallow the Sun,12613
Swashbuckle,45228
Sybreed,25125
Sylosis,79468
Symphony X,172
Symphorce,2016
Sólstafir,3213
The Sins of Thy Beloved,375
The Storyteller,1187
The Sword,57071
