name,id
The Vision Bleak,15041
Vader,145
Van Canto,87185
Varathron,1295
Vardan,18606
Vectom,1615
Ved Buens Ende,888
Vehemence,2048
Veil of Maya,45084
Vektor,87803
Velvet Cacoon,15954
Vendetta,737
Venom,128
Versailles,97986
Vesania,7383
Vicious Rumors,678
Victorius,3540273882
Viikate,15287
Viking,1196
Vinterland,1403
Vinterriket,11800
Vintersorg,227
Vio-lence,373
Violator,5123
Viral Load,2665
Virgin Black,93
Virgin Steele,105
Virus,12540
Visigoth,3540317566
Vision Divine,1394
Visions of Atlantis,8937
Vital Remains,720
Vlad Tepes,975
Voivod,115
Volbeat,33323
Vomitory,319
Von,2302
Vrag,5155
Vreid,27072
Vrolok,5622
Vulcano,1769
