name,id
The Wounded Kings,3540258999
W. Angel's Conquest,2962
W.A.S.P.,544
Waking the Cadaver,64723
Waltari,4138
Warbringer,53989
Warfare,6372
Wargasm,757
Warlock,686
Warlord,264
Warning,10936
Watain,5173
Watchtower,694
Waylander,87
Weakling,5302
Weapon,39684
Weedeater,14104
Wervolf,94818
While Heaven Wept,2228
Whiplash,310
Whispered,74805
White Skull,902
White Wizzard,3540272492
White Zombie,850
Whitechapel,100482
Whourkr,103666
Windhand,3540313433
Windir,360
Winds,1248
Winds of Plague,42210
Winterfylleth,107837
Wintersun,22813
Witchburner,244
Witchcraft,18938
Witchery,218
Witchfinder General,299
Witchfynde,1473
Witchtrap,10821
Within Temptation,1006
Within the Ruins,107168
Wizard,156
Wodensthrone,83954
Woe,101859
Wolf,759
Wolfchant,48056
Wolfnacht,7540
Wolves in the Throne Room,35741
Woods of Desolation,83077
Woods of Infinity,6667
Woods of Ypres,1555
Wormed,3985
Wormphlegm,14424
Wormrot,3540285169
Worship,4244
Written in Torment,79926
Wuthering Heights,2230
Wyrd,3563
