name,id
Bal-Sagoth,12
Baphomet,953
Baptism,4571
Barathrum,2368
Barbatos,4239
Baroness,34361
Barren Earth,3540294014
Bathory,184
Battle Beast,3540325827
Battlelore,431
Battleroar,5121
Batushka,3540404077
Be'lakor,89033
Becoming the Archetype,34307
Before the Dawn,8508
Beheaded,328
Behemoth,263
Beherit,348
Behexen,6310
Behold the Arctopus,9802
Belenos,2991
Believer,655
Belkètre,4240
Belphegor,1952
Beneath the Massacre,35773
Benediction,504
Benighted,3752
Bestial Warlust,1225
Bethlehem,1122
Bewitched,971
Beyond Creation,3540316039
Beyond Twilight,294
Bilskirnir,9509
Biomechanical,1200
Black Anvil,3540264749
Black Boned Angel,42960
Black Funeral,4036
Black Label Society,245
Black Majesty,919
Black Sabbath,99
Black Tribe,7223
Black Witchery,2782
Blasphemy,1141
Blaspherian,47423
Blaze,600
Blaze Bayley,3540257585
Blaze of Perdition,3540268475
Bleeding Through,3106
Blind Guardian,3
Blind Illusion,684
Blitzkrieg,685
Blood Ceremony,3540318499
Blood Feast,509
Blood Red Throne,808
Blood Stain Child,9224
Blood Tsunami,43309
Blood of the Black Owl,86051
Bloodbath,233
Bloodbound,54764
Bloodshot Dawn,109342
Blut aus Nord,2371
Bob Catley,16778
Bolt Thrower,234
Bonded by Blood,105199
Bone Awl,14143
Bongripper,59880
Boris,9387
Borknagar,629
Bow Wow,22937
Brain Drill,66715
Brainstorm,313
Branikald,10269
Brodequin,241
Broken Hope,3221
Brown Jenkins,98074
Bruce Dickinson,295
Brujeria,1347
Brutal Truth,606
Brutality,508
Buckethead,3540384034
Budgie,1039
Bulldozer,890
Burial Hordes,10542
Burning Point,2273
Burst,15620
Burzum,88
Buzzov•en,4223
Bölzer,3540351548
The Berzerker,827
The Black Dahlia Murder,5450
The Body,51680
