name,id
D.R.I.,5928
Dagoba,26507
Dalriada,91866
Danzig,286
Dark Angel,126
Dark Fortress,5388
Dark Funeral,669
Dark Moor,568
Dark Tranquillity,8
Darkane,9
Darkest Hour,3484
Darkestrah,15448
Darkness,1849
Darkspace,13746
Darkthrone,146
Darvulia,18278
Darzamat,2129
Dawn,1455
Dawnbringer,569
Daylight Dies,2809
De Profundis,103709
Dead Congregation,33688
Dead Head,5459
Dead Raven Choir,23513
Deadlock,5413
Deafheaven,3540315870
Death,141
Death Angel,179
Death SS,1111
Deathchain,4267
Deathhammer,57061
Deathrow,1055
Deathspell Omega,4237
Decapitated,114
Deceased,1392
Decrepit Birth,916
Decrepitaph,64896
Deeds of Flesh,829
Deep Purple,1178
Def Leppard,16713
Defeated Sanity,11052
Defiance,311
Deicide,148
Deinonychus,2339
Deiphago,39179
Dekapitator,981
Delain,10897
Deliverance,1215
Demigod,995
Demilich,250
Demolition Hammer,1161
Demon,575
Demoncy,2177
Demonic Resurrection,8293
Demonical,72977
Demons & Wizards,158
Depressive Age,1586
Deranged,1036
Derkéta,3119
Desaster,277
Despised Icon,5494
Destroy Destroy Destroy,33570
Destruction,155
Destructor,1220
Deströyer 666,223
Desultory,577
Dethklok,106461
Deus Otiosus,90881
Deviator,99896
Devil Doll,5950
DevilDriver,96618
Devin Townsend,1245
Devin Townsend Project,3540289430
Deviser,699
Devourment,818
Dew-Scented,769
Dezperadoz,8441
Diablo Swing Orchestra,38762
Diabolic,1108
Diabolical Masquerade,236
Diamond Head,401
Die Apokalyptischen Reiter,2530
Dies Irae,3280
Dimension Zero,243
Dimmu Borgir,69
Dio,163
Diocletian,70207
Disarmonia Mundi,5284
Discharge,26385
Disembowelment,4213
Disfiguring the Goddess,3540374382
Disgorge,326
Disillusion,11560
Disma,3540292739
Dismember,122
Dissection,183
Divine Heresy,98320
Dodecahedron,3540329941
Dokken,16095
Dolorian,3925
Doom:VS,42685
DoomSword,734
Dornenreich,2374
Doro,4220
Dorsal Atlântica,2092
Down,71
Dr. Living Dead!,102731
Draconian,3666
Dragged into Sunlight,3540264025
DragonForce,2289
Dragonland,2000
Drawn and Quartered,3545
Dream Death,872
Dream Evil,1162
Dream Theater,37
Dreamtale,1828
Drowning the Light,80383
Drudkh,9344
Drug Honkey,89129
Dub Buk,8811
Dying Fetus,45
Dystopia,27354
Dødheimsgard,1424
Dødsferd,54536
The Day Everything Became Nothing,14074
The Devin Townsend Band,112845
The Duskfall,3498
