name,id
Ea,84048
Earth,10278
Echoes of Eternity,71435
Ectovoid,3540325421
Eden's Curse,102073
Edenbridge,1843
Edge of Sanity,106
Edguy,170
Eidolon,771
Einherjer,307
El-Ahrairah,3540298353
Eldamar,3540407768
Elder,94478
Eldritch,591
Electric Wizard,407
Elend,1017
Elffor,6664
Elis,11971
Eluveitie,13991
Elvenking,387
Elysian Blaze,17646
Embrace of Thorns,26115
Embrional,70930
Emperor,30
Emptiness,5845
Empyrium,2345
Encoffination,3540301943
Enforcer,53941
Enmity,2070
Enochian Crescent,2551
Ensiferum,332
Enslaved,104
Enthroned,1153
Entombed,7
Entrails,3540285750
Entrapment,3540311714
Entwine,2610
Ephel Duath,1320
Epica,6716
Epicardiectomy,3540315641
Epidemic,3560
Equilibrium,11613
Ereb Altor,19273
Erebus Enthroned,113224
Esoteric,353
Estatic Fear,5954
Eternal Champion,3540362562
Eternal Tears of Sorrow,333
Eucharist,330
Evergrey,1388
Evil,9623
Evildead,1232
Evile,34007
Evilfeast,15806
Evocation,19145
Evoken,291
Ewigheim,30749
Ex Deo,3540283566
Excalion,17232
Exciter,1103
Exhorder,334
Exhumed,143
Exivious,2802
Exmortus,23401
Exodus,173
Extol,1164
Extreme Noise Terror,1046
Exumer,1529
Eyehategod,1624
The Exploited,26220
