name,id
Facebreaker,7837
Fairyland,8051
Faith No More,983
Faithful Breath,912
Falconer,74
Falkenbach,1071
Falls of Rauros,67357
Fallujah,3540255104
False,3540332204
Fantômas,1383
Fastkill,25775
Fates Warning,604
Father Befouled,3540256096
Fear Factory,189
Fear of Domination,125861
Fejd,24186
Fell Voices,3540259141
Fen,92603
Fifth Angel,1214
Fight,425
Finntroll,95
Finsterforst,62761
Firewind,2025
Firth of Damnation,95657
Fleshcrawl,847
Fleshgod Apocalypse,113185
Fleshgrind,3319
Flotsam and Jetsam,621
Flowing Tears,4246
Folkearth,30998
Forbidden,374
Forced Entry,599
Forefather,781
Foreskin,3540308292
Forest,7339
Forest Silence,6946
Forest of Shadows,1241
Forgive Me,3540296723
Forgotten Tomb,5037
Forgotten Woods,1089
Forsaken,964
Forteresse,81106
Fozzy,1402
Freak Kitchen,1375
Freedom Call,603
Frost like Ashes,6009
Fueled by Fire,43127
Full of Hell,3540438869
Funebrarum,11723
Funeral,3438
Funeral Mist,2854
Furia,23765
Furze,10020
The Faceless,74954
The Foreshadowing,108312
