name,id
Gaia Epicus,11122
Gallhammer,28291
Galneryus,19417
Gama Bomb,12108
Gamma Ray,221
Gammacide,1930
Gargoyle,15822
Gatecreeper,3540382449
Gatekeeper,3540360941
Gates of Ishtar,619
Gehenna,2155
General Surgery,3162
Ghost,3540309157
Ghost Bath,3540372489
Ghoul,671
Giant Squid,83500
Gigan,108235
Glittertind,16715
Glorior Belli,18405
Gloryhammer,3540361647
Gnaw Their Tongues,87503
Goatmoon,30403
Goatpenis,11013
Goatwhore,2381
God Dethroned,242
God Forbid,1251
Godflesh,788
Godgory,1051
Godkiller,2401
Gojira,18351
Gontyna Kry,1349
Gorefest,1334
Gorement,9649
Gorerotted,2101
Gorgasm,212
Gorgoroth,770
Gorguts,1124
Gorod,44494
Gospel of the Horns,2788
Grand Belial's Key,270
Grand Magus,7162
Grave,1020
Grave Digger,391
Graveland,390
Graveworm,1019
Gravewürm,589
Graveyard,111014
Green Carnation,103
Grim Reaper,952
Grinder,939
Grip Inc.,154
Gris,101968
Gruesome,3540392674
Gwar,31515
Gygax,3540406811
The Gates of Slumber,24781
The Gathering,797
The Great Kat,65304
