name,id
Hades,46315
Hades Archer,89232
Haemorrhage,2556
Haggard,63
Hail of Bullets,105288
Haken,3540270852
Halford,98
Halloween,1441
Hallows Eve,137
HammerFall,201
Hammers of Misfortune,47
Happy Days,97532
Hate,2750
Hate Eternal,131
Hate Forest,2234
HateSphere,1550
Hatriot,3540358820
Havohej,4250
Havok,34723
Heathen,378
Heaven & Hell,99536
Heaven Shall Burn,3010
Heavenly,1433
Heavy Load,113
Hecate Enthroned,793
Heidevolk,17850
Heinrichreich,117165
Helheim,2408
Hell,5849
Hellhammer,287
Helloween,159
Hellveto,11286
Hellwitch,1284
Hellyeah,90772
Helmet,5636
Helrunar,13391
Helstar,142
Hermóðr,3540346412
Hexx,1172
Hibria,3813
High on Fire,2931
Hirax,1617
Hollenthon,185
Holocaust,760
Holocausto,2356
Holy Grail,3540294870
Holy Moses,1541
Hooded Menace,112466
Horn,17452
Horna,3231
Horrendous,3540301705
Hoth,3540357307
Hour of Penance,10433
Human Fortress,2031
Human Serpent,3540370707
Huntress,114837
Hypocrisy,96
Hypothermia,19074
The Haunted,85
