name,id
Kaamos,3409
Kalmah,702
Kalmankantaja,3540342889
Kamelot,166
Kampfar,3232
Kanashimi,3540262833
Kaoteon,13345
Karl Sanders,26148
Kataklysm,887
Katalepsy,70880
Katatonia,6
Kataxu,2236
Katharsis,8411
Kauan,102515
Kawir,11796
Kayo Dot,11472
Keep of Kalessin,2845
Kekal,4418
Ketzer,57499
Khanate,2258
Khemmis,3540375987
Khold,1104
Killswitch Engage,3075
King Diamond,255
Kingdom,94450
Kiuas,8998
Klabautamann,10999
Kobra and the Lotus,3540308785
Korpiklaani,17431
Kosmokrater,3540273953
Kraanium,34297
Krabathor,258
Krallice,3540258039
Kratornas,12046
Kreator,157
Krieg,991
Kriegsmaschine,13405
Krisiun,197
Kroda,35759
Krokus,93943
Kronos,2825
Krypteria,84007
Krypts,3540282830
Kult ov Azazel,1096
Kvist,2334
Kyuss,398
The Kovenant,92
