name,id
L'Acéphale,35182
LIK,16798
Labÿrinth,1068
Lacrimas Profundere,3377
Lacuna Coil,124
Lair of the Minotaur,21849
Lake of Tears,2443
Lamb of God,59
Lantlôs,118049
Lazarus A.D.,73370
Leatherwolf,1130
Leaves' Eyes,26706
Lecherous Nocturne,13837
Legion of Doom,5343
Legion of the Damned,53063
Leprous,106322
Leviathan,9562
Lich King,75426
Liege Lord,284
Lifelover,68417
Light This City,18976
Limbonic Art,862
Liquid Tension Experiment,389
Liturgy,3540287759
Living Death,1596
Living Sacrifice,3002
Lizzy Borden,1544
Lock Up,2756
Lonewolf,1452
Lord Belial,1052
Lord Vicar,122973
Lord Wind,1885
Lordi,2976
Loss,29198
Lost Horizon,377
Lost Society,3540341228
Lost Soul,7030
Loudblast,944
Loudness,943
Lovebites,3540428459
Luca Turilli,388
Luca Turilli's Rhapsody,3540348143
Lucifer's Friend,3540366921
Lucifugum,8442
Ludicra,5642
Lugubrum,5478
Lunar Aurora,3233
Lunarsea,28357
Lunatica,7284
Lurker of Chalice,37266
Lustre,3540266973
Lykathea Aflame,2884
Lymphatic Phlegm,3288
Lääz Rockit,1035
The Lord Weird Slough Feg,296
