name,id
M.O.D.,1049
Macabre,167
Macabre Omen,5538
Machetazo,938
Machinae Supremacy,21736
Machine Head,335
Madder Mortem,2563
Mael Mórdha,3256
Magic Kingdom,14327
Majesty,297
Make Them Suffer,3540328594
Make a Change... Kill Yourself,42120
Malevolent Creation,175
Malignancy,403
Man Must Die,14566
Manes,7748
Maniac Butcher,976
Manilla Road,379
Manowar,83
Manticora,984
Mar de Grises,6469
Marblebog,16138
Marduk,386
Mare Cognitum,3540343747
Marshall Law,594
Marty Friedman,1682
Martyr,552
Massacra,1537
Massacre,281
Massemord,14380
Master,4280
Master's Hammer,2525
Masterplan,1510
Mastodon,1361
Maudlin of the Well,16
Mayhem,67
Mechina,57637
Megadeth,138
Megiddo,109
Mekong Delta,701
Melechesh,424
Meliah Rage,758
Melvins,1702
Mental Home,471
Mercenary,2028
Merciless,2249
Merciless Death,34891
Mercyful Fate,182
Mercyless,7544
Merrimack,7714
Mesarthim,3540399388
Meshuggah,21
Messiah,907
Metal Church,371
Metalium,674
Metallica,125
Mgła,44722
Midnight,46617
Midnight Odyssey,3540275343
Ministry,59780
Mirrorthrone,3485
Misanthrope,710
Misery Index,2417
Mithotyn,364
Mithras,6600
Mitochondrion,14732
Mob Rules,712
Moloch,87192
Monarch,36201
Monarque,51532
Monolithe,13707
Monstrosity,893
Moon,122605
Moonblood,1088
Moonsorrow,89
Moonspell,61
Morbid,6967
Morbid Angel,68
Morbid Saint,8939
Morbus Chron,3540285489
Mordred,1625
Morgana Lefay,1453
Morgion,339
Morgoth,811
Morgue Supplier,2243
Morgul,3331
Mors Principium Est,6494
Mortal Decay,217
Mortal Sin,709
Mortician,350
Mortification,792
Mortiis,81
Mortuary Drape,735
Moss,12663
Motörhead,203
Mournful Congregation,2824
Mourning Beloveth,3928
Mr. Bungle,1381
Municipal Waste,7477
Mutilator,714
My Dying Bride,151
MyGrain,43733
Myrath,105456
Myrkur,3540386032
Mystic Prophecy,3123
Mystifier,602
Mägo de Oz,865
Månegarm,985
Mötley Crüe,1025
Mütiilation,905
The Meads of Asphodel,3235
The Mob,3540357233
The Monolith Deathcult,22299
The Morningside,102069
