name,id
P.H.O.B.O.S.,33473
Pagan Altar,1139
Pagan Hammer,101715
Pagan's Mind,3089
Paganizer,3370
Paimonia,3540345787
Pain,779
Pain of Salvation,547
Pale Divine,11866
Pallbearer,3540315471
Pandemonium,8165
Panopticon,126117
Pantera,77
Pantheist,3698
Panzerchrist,2864
Paracoccidioidomicosisproctitissarcomucosis,24539
Paradise Lost,191
Paradox,271
Paragon,365
Pathfinder,122302
Pathology,78281
Paths of Possession,9919
Paul Chain,8116
Paysage d'Hiver,13417
Peccatum,1023
Pelican,9712
Pensées Nocturnes,3540278206
Pentacle,442
Pentagram,443
Persefone,12779
Persuader,987
Pessimist,1040
Pest,14073
Peste Noire,12841
Pestilence,238
Pestilential Shadows,14988
Pharaoh,2801
Phlebotomized,2682
Pig Destroyer,799
Pilgrim,3540327383
Pitchshifter,81699
Plasmatics,19654
Poison,6728
Poisonblack,5057
Pokolgép,1190
Portal,5471
Portrait,73691
Possessed,914
Power Quest,3111
Power Trip,3540309358
Powerwolf,34543
Preludium,14507
Pretty Maids,1197
Primal Fear,1029
Primitive Man,3540357063
Primordial,400
Pro-Pain,1253
Probot,14957
Procer Veneficus,30621
Procession,126977
Proclamation,29196
Profanatica,2175
Promiscuity,3540325132
Prong,1209
Prosanctus Inferi,85160
Prostitute Disfigurement,318
Protector,1749
Psychotic Waltz,881
Psycroptic,187
Pungent Stench,174
Putrid Pile,7264
Putridity,92948
Pyramaze,13287
Pyrrhon,3540287548
The Project Hate MCMXCIX,1247
