name,id
S.O.D.,190
Sabaton,484
Sabbat,580
Sacramentum,908
Sacred Reich,120
Sacred Steel,153
Sacrifice,462
Sacrilege,3145
Sadist,2663
Sadus,1012
Saint Vitus,35
Samael,31
Samson,1607
Sanctuary,343
Saor,3540373234
Sarcófago,2061
Sargeist,10533
Sarke,3540278472
Satan,774
Satan's Hallow,3540396105
Satan's Host,1460
Satanic Warmaster,989
Saturnus,3540
Satyricon,341
Savage Circus,44952
Savage Master,3540388351
Savage Messiah,108948
Savatage,193
Saxon,626
Scanner,267
Scar Symmetry,32861
Scarve,5163
Sceptic,3329
Schizo,7472
Scorpions,15424
Sculptured,8394
Seance,2519
Sear Bliss,3137
Secret Sphere,1069
Secrets of the Moon,6447
Senmuth,90703
Sentenced,162
Septicflesh,892
Sepultura,78
Serenity,24516
Setherial,1098
Seven Kingdoms,108082
Seven Witches,476
Severe Torture,240
Sex Machineguns,7310
Shade Empire,3230
Shadow Gallery,1411
Shadow of Intent,3540383526
Shadows Fall,703
Shaman,1720
Shape of Despair,1194
Shining,2256
Shores of Sheol,36054
Siculicidium,20775
Siebenbürgen,1407
Sieges Even,1443
Sieghetnar,82386
Sigh,51
Signum Regis,3540258648
Silencer,8476
Silent Force,748
Silent Stream of Godless Elegy,1298
Sinbreed,3540278358
Sinergy,479
Sinister,998
Sinner,909
Sirenia,1393
Six Feet Under,1067
Skagos,3540257233
Skelator,5092
Skeletal Remains,3540331659
Skeletonwitch,16879
Skepticism,5222
Skid Row,1657
Skinflint,3540321606
Skinlab,106768
Skinless,820
Skjaersild,3540326685
Skull Fist,79718
Skyclad,58
Skyfire,614
Skyforger,2776
Skylark,1618
Skyliner,4156
Skálmöld,3540318962
Skáphe,3540382146
Slaughter,376
Slayer,72
Slechtvalk,5957
Sleep,2891
Sleep Terror,5753
Slomatics,117515
Sloth,16591
Slugathor,4313
Sodom,419
Soilent Green,76
Soilwork,26
Solefald,50
Soliloquium,3540350235
Solitude Aeturnus,256
Solstice,718
Solution .45,3540303901
Sombre Chemin,7672
Sombres Forêts,71518
Sonata Arctica,192
Sonic Syndicate,47836
Sorcerer,5906
Sorcier des Glaces,3976
Soulfly,3540344931
Soundgarden,5649
Spaceslug,3540407404
Spastic Ink,2018
Spawn of Possession,204
Spearhead,19724
Spectral Lore,68704
Spectral Voice,3540377591
Spektr,18228
Spiral Architect,1243
Spiritual Beggars,13
Stam1na,33052
Starkill,3540362870
Steel Attack,488
Steel Prophet,317
Steelwing,3540306077
Stillborn,14100
Stormlord,129
Stormwarrior,742
Stormwitch,1113
Strapping Young Lad,46
Stratovarius,216
Stream of Passion,45291
Striborg,16746
Strid,7507
Striker,3540276670
Stryper,81757
Subterranean Masquerade,16569
Suffocation,119
Suicidal Angels,27911
Suicidal Tendencies,959
Suidakra,487
Sulphur Aeon,3540326674
Summoning,29
Sun Devoured Earth,3540325436
Sunn O))),612
Superjoint Ritual,507
Susperia,790
Svartidauði,3540303310
Svartsot,56851
Svartsyn,3247
Swallow the Sun,12613
Swashbuckle,45228
Sybreed,25125
Sylosis,79468
Symfonia,3540325133
Symphony X,172
Symphorce,2016
Sólstafir,3213
The Sins of Thy Beloved,375
The Stone,9864
The Storyteller,1187
The Sword,57071
