name,id
TNT,3118
TOC,1409
Taake,370
Taarma,58400
Tad Morose,812
Tank,1038
Tankard,535
Tankist,3540388943
Tarja,110710
Tarot,4339
Teitanblood,20242
Temple of Baal,4931
Tengger Cavalry,3540302366
Terror 2000,1281
Terrorizer,1022
Testament,70
Thanatos,293
Thantifaxath,3540326043
Thaurorod,54613
The Third and the Mortal,1242
Theatre of Tragedy,164
Theatres des Vampires,5044
Theocracy,14509
Theory in Practice,178
Thergothon,876
Therion,94
Thin Lizzy,1499
Thor,259
Thorns,1131
Thou,104484
Thou Art Lord,1109
Thrash or Die,3540316106
Threat Signal,42836
Threshold,1114
Throne of Katarsis,29291
Throneum,6181
Thulcandra,126757
Thunderbolt,2220
Thunderstone,2282
Thy Art Is Murder,3540316559
Thy Catafalque,31620
Thy Light,36147
Thyrfing,337
Tiamat,859
Tierra Santa,766
Timo Tolkki's Avalon,3540364667
Tjolgtjar,23218
To-Mera,46379
Tokyo Blade,1444
Tomb Mold,3540409693
Tomhet,88705
Tony MacAlpine,3540333427
Torche,41415
Tormentor,2268
Torture Killer,10017
Torture Squad,7346
Tourniquet,958
Toxic Holocaust,3578
Toxik,1293
Tragedy,3540443150
Trancelike Void,124691
Trans-Siberian Orchestra,1447
Trap Them,3540267275
Tribulation,39589
Trick or Treat,44015
Trigger the Bloodshed,120678
Triptykon,3540303132
Trist,19620
Tristania,101
Trivium,6795
Troll,1390
Trouble,393
Tsjuder,1379
Turbo,3536
Turisas,1650
Tvangeste,3242
Twilight,44905
Twilight Force,3540382043
Twilightning,10073
Twisted Sister,4975
Twisted Tower Dire,495
Tygers of Pan Tang,801
Type O Negative,802
Tyranny,14817
Tyrant,494
Tyrant of Death,3540359563
Týr,14435
