name,id
The Vision Bleak,15041
Vader,145
Valkyrja,33164
Vallenfyre,3540332709
Van Canto,87185
Vanden Plas,1400
Varathron,1295
Vardan,18606
Vargsang,11729
Vastum,3540322864
Vectom,1615
Ved Buens Ende,888
Vehemence,2048
Veil of Maya,45084
Vektor,87803
Veldes,3540359514
Velvet Cacoon,15954
Vendetta,737
Venom,128
Versailles,97986
Vesania,7383
Vicious Rumors,678
Victorius,3540273882
Vietah,125135
Viikate,15287
Viking,1196
Vile,1001
Vinterland,1403
Vinterriket,11800
Vintersorg,227
Vio-lence,373
Violator,5123
Viper,1695
Viral Load,2665
Virgin Black,93
Virgin Steele,105
Virus,12540
Visigoth,3540317566
Vision Divine,1394
Visions of Atlantis,8937
Vital Remains,720
Vlad Tepes,975
Voivod,115
Volahn,3540265210
Volbeat,33323
Volcano,2879
Vomitory,319
Von,2302
Vrag,5155
Vreid,27072
Vulcano,1769
Vulvectomy,97648
